fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-15,Subidas,Foyth,DF,Villarreal,11990930,+264350,+2.3
2026-08-15,Subidas,Boyomo,DF,Osasuna,28005862,+211895,+0.8
2026-08-15,Subidas,Javi Guerra,MC,Valencia,24015274,+95230,+0.4
2026-08-15,Subidas,Isaac,DL,Sevilla,6441463,+66118,+1.0
2026-08-15,Subidas,Camello,DL,Rayo Vallecano,3100718,+10942,+0.4
2026-08-15,Subidas,FAFacu,DF,Racing,3069922,+10384,+0.3
2026-08-15,Subidas,Pablo Ramón,DF,Racing,514893,+1551,+0.3
2026-08-15,Bajadas,SSSaba Sazonov,DF,Getafe,1246455,-16287,-1.3
2026-08-15,Bajadas,D. Villares,MC,Deportivo,2517042,-16482,-0.7
2026-08-15,Bajadas,Pablo Durán,DL,Celta,1046490,-25678,-2.4
2026-08-15,Bajadas,C. Puga,DF,Málaga,5281655,-40285,-0.8
2026-08-15,Bajadas,RamisDTOsasuna,,,1477812,-48609,-3.2
2026-08-15,Bajadas,Guido Rodríguez,MC,Valencia,25736116,-170017,-0.7
2026-08-15,Bajadas,Ionut Radu,PT,Celta,39248115,-463592,-1.2
