fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-08,Subidas,1Cucurella,DF,Real Madrid,77901249,+2635909,+3.5
2026-08-08,Subidas,2Joan García,PT,Barcelona,55244343,+2514625,+4.8
2026-08-08,Subidas,3Konaté,DF,Real Madrid,42902150,+1681161,+4.1
2026-08-08,Subidas,4Bernardo Silva,MC,Real Madrid,42695953,+1615883,+3.9
2026-08-08,Subidas,5Lookman,DL,Atletico Madrid,75923343,+1578927,+2.1
2026-08-08,Subidas,6Aubameyang,DL,Deportivo La Coruna,23433171,+1417813,+6.4
2026-08-08,Subidas,7Larrubia,MC,Malaga,53691232,+1239236,+2.4
2026-08-08,Subidas,8Moleiro,MC,Villarreal,59395168,+1231977,+2.1
2026-08-08,Subidas,9C. Romero,DF,Villarreal,37115709,+1190421,+3.3
2026-08-08,Subidas,10Chupe,DL,Malaga,51339745,+1179497,+2.4
2026-08-08,Subidas,11Á. Valles,PT,Real Betis,27748955,+1079494,+4.0
2026-08-08,Subidas,12Leo Román,PT,Deportivo La Coruna,31556823,+992599,+3.2
2026-08-08,Subidas,13Gueye,MC,Villarreal,44573470,+863716,+2.0
2026-08-08,Subidas,14Mikautadze,DL,Villarreal,56155576,+775630,+1.4
2026-08-08,Subidas,15Sivera,PT,Alaves,28700083,+759400,+2.7
2026-08-08,Subidas,16Dmitrovic,PT,Espanyol,34358897,+748699,+2.2
2026-08-08,Subidas,17Hancko,DF,Atletico Madrid,32867543,+746733,+2.3
2026-08-08,Subidas,18Sergio Herrera,PT,Osasuna,37674037,+744670,+2.0
2026-08-08,Subidas,19Laporte,DF,Athletic Club,60521318,+647572,+1.1
2026-08-08,Subidas,20Gerard Martín,DF,Barcelona,29715386,+644090,+2.2
2026-08-08,Subidas,Comesaña,MC,Villarreal,29256850,+617012,+2.2
2026-08-08,Subidas,Etta Eyong,DL,Levante,22680165,+593291,+2.7
2026-08-08,Subidas,Vini Jr.,DL,Real Madrid,98581783,+522499,+0.5
2026-08-08,Subidas,Mouriño,DF,Villarreal,38358744,+517894,+1.4
2026-08-08,Subidas,Ionut Radu,PT,Celta Vigo,39231311,+497574,+1.3
2026-08-08,Subidas,A. Batalla,PT,Rayo Vallecano,41509456,+481799,+1.2
2026-08-08,Subidas,Boyomo,DF,Osasuna,25179300,+468935,+1.9
2026-08-08,Subidas,O. Sancet,MC,Athletic Club,51916782,+457521,+0.9
2026-08-08,Subidas,De Frutos,DL,Rayo Vallecano,49241255,+442701,+0.9
2026-08-08,Subidas,Vlachodimos,PT,Sevilla,14960255,+404560,+2.8
2026-08-08,Subidas,Lo Celso,MC,Real Betis,41384903,+402946,+1.0
2026-08-08,Subidas,Affengruber,DF,Elche,32326959,+389453,+1.2
2026-08-08,Subidas,Natan,DF,Real Betis,43379393,+381910,+0.9
2026-08-08,Subidas,Mario Soriano,MC,Deportivo La Coruna,23473813,+326617,+1.4
2026-08-08,Subidas,Jauregizar,MC,Athletic Club,26475513,+319170,+1.2
2026-08-08,Subidas,Júnior R.,PT,Villarreal,40944511,+312412,+0.8
2026-08-08,Subidas,Remiro,PT,Real Sociedad,45326148,+297115,+0.7
2026-08-08,Subidas,Bartra,DF,Real Betis,26635176,+285562,+1.1
2026-08-08,Subidas,Marc Bernal,MC,Barcelona,5053142,+284712,+6.0
2026-08-08,Subidas,Raúl Moro,DL,Osasuna,12253723,+273043,+2.3
2026-08-08,Subidas,Dumfries,DF,Real Madrid,66396560,+254189,+0.4
2026-08-08,Subidas,C. Alvarez,MC,Levante,18675836,+254137,+1.4
